SESSION,DATE,landmarkid,utme,utmn,clan
S12172,2/5/2013,Egyptian Goose (HZ),718330,9840776,happy zebra
S12173,2/5/2013,Pride Rock (HZ),718412,9839302,happy zebra
S12174,2/5/2013,Scrawny Sausage Tree (HZ),0,0,happy zebra
S12175,2/5/2013,The Giver (HZ),718847,9838484,happy zebra
S12176,2/5/2013,Holy Grail Den (HZ),0,0,happy zebra
S12177,2/6/2013,Holy Grail Den (HZ),0,0,happy zebra
S12179,2/8/2013,Holy Grail Den (HZ),0,0,happy zebra
S12180,2/9/2013,North Waterhole (HZ),0,0,happy zebra
S12181,2/9/2013,Holy Grail Den (HZ),0,0,happy zebra
S12182,2/12/2013,Holy Grail Den (HZ),0,0,happy zebra
S12183,2/15/2013,9km Marker (HZ),0,0,happy zebra
S12184,2/15/2013,Holy Grail Den (HZ),0,0,happy zebra
S12185,2/15/2013,Comatose Culvert (HZ),718471,9841088,happy zebra
S12186,2/15/2013,9km Marker (HZ),0,0,happy zebra
S12187,2/15/2013,Metropolitan Tree (HZ),716649,9842698,happy zebra
S12188,2/15/2013,9km Marker (HZ),0,0,happy zebra
S12189,2/15/2013,Holy Grail Den (HZ),0,0,happy zebra
S12190,2/15/2013,9km Marker (HZ),718085,9842250,happy zebra
S12191,2/16/2013,Comatose Culvert (HZ),718476,9841055,happy zebra
S12192,2/16/2013,Holy Grail Den (HZ),0,0,happy zebra
S12193,2/17/2013,Holy Grail Den (HZ),0,0,happy zebra
S12194,2/20/2013,Comatose Culvert (HZ),0,0,happy zebra
S12195,2/20/2013,Holy Grail Den (HZ),0,0,happy zebra
S12196,2/20/2013,Holy Grail Den (HZ),748955,9840016,happy zebra
S12196,2/20/2013,Egyptian Goose (HZ),718293,9840138,happy zebra
S12197,2/23/2013,Holy Grail Den (HZ),0,0,happy zebra
S12198,2/25/2013,Holy Grail Den (HZ),0,0,happy zebra
S12200,2/25/2013,Egyptian Goose (HZ),718322,9839772,happy zebra
S12201,2/25/2013,Pride Rock (HZ),718404,9839772,happy zebra
S12202,2/25/2013,Holy Grail Den (HZ),0,0,happy zebra
S12202,2/25/2013,Holy Grail Den (HZ),718926,9840043,happy zebra
S12202,2/25/2013,Holy Grail Den (HZ),0,0,happy zebra
S12203,2/26/2013,Holy Grail Den (HZ),0,0,happy zebra
S12204,3/1/2013,Holy Grail Den (HZ),0,0,happy zebra
S12205,3/1/2013,LBJ X (HZ?),719829,9840091,happy zebra
S12206,3/3/2013,Holy Grail Den (HZ),0,0,happy zebra
S12207,3/3/2013,Masai Mama Tree (HZ?),721149,9842842,happy zebra
S12208,3/4/2013,Egyptian Goose (HZ),0,0,happy zebra
S12209,3/4/2013,Holy Grail Den (HZ),0,0,happy zebra
S12210,3/9/2013,Holy Grail Den (HZ),0,0,happy zebra
S12211,3/11/2013,Amazon Den (HZ),0,0,happy zebra
S12212,3/11/2013,Holy Grail Den (HZ),0,0,happy zebra
S12213,3/14/2013,Holy Grail Den (HZ),0,0,happy zebra
S12215,3/14/2013,Egyptian Goose (HZ),718083,9840229,happy zebra
S12216,3/14/2013,Sneaky Crossing (HZ),717345,9841738,happy zebra
S12216.1,3/15/2013,Amazon Den (HZ),0,0,happy zebra
S12217,3/15/2013,Burnt Crossing (Olare?),715937,9841415,happy zebra
S12218,3/15/2013,9km Marker (HZ),717539,9841821,happy zebra
S12219,3/15/2013,Holy Grail Den (HZ),0,0,happy zebra
S12220,3/17/2013,North Waterhole (HZ),0,0,happy zebra
S12221,3/17/2013,Holy Grail Den (HZ),0,0,happy zebra
S12222,3/17/2013,Comatose Culvert (HZ),718018,9841551,happy zebra
S12223,3/17/2013,Sneaky Crossing (HZ),717670,9841366,happy zebra
S12224,3/17/2013,Comatose Culvert (HZ),718377,9841289,happy zebra
S12225,3/18/2013,Sneaky Crossing (HZ),717116,9841646,happy zebra
S12226,3/18/2013,Pride Rock (HZ),718380,9839493,happy zebra
S12227,3/18/2013,Holy Grail Den (HZ),0,0,happy zebra
S12228,3/18/2013,Egyptian Goose (HZ),718461,9840782,happy zebra
S12230,3/22/2013,Holy Grail Den (HZ),0,0,happy zebra
S12231,3/22/2013,Scrawny Sausage Tree (HZ),719858,9839532,happy zebra
S12232,3/22/2013,Egyptian Goose (HZ),0,0,happy zebra
