SESSION,DATE,landmarkid,utme,utmn
102293,11/17/2012,MJ Lane Top (Fig Tree),740595,9840074
102294,11/17/2012,Tawny Tree (Talek),742362,9839082
102299,11/25/2012,Fallopian Tree (Fig Tree),741173,9840366
102296,11/25/2012,MJ Lane Top (Fig Tree),740584,9839970
102295,11/25/2012,Chung Chung Magitek Armor Crossing (Fig Tree),738351,9837958
102298,11/25/2012,Buffalo Lugga High Crossing (Prozac),738433,9841216
102297,11/25/2012,Buffalo Lugga High Crossing (Prozac),738507,9841104
102300,11/26/2012,Tawny Tree (Talek),742626,9840291
102301,11/26/2012,MJ Lane Top (Fig Tree),740440,9840292
102302,11/26/2012,Fallopian Tree (Fig Tree),741275,9840809
102303,11/27/2012,MJ Lane Bottom (Fig Tree),739181,9841234
102303,11/27/2012,Buffalo Lugga High Crossing (Prozac),739091,9841382
102304,11/27/2012,Buffalo Lugga High Crossing (Prozac),738844,9840747
102305,11/27/2012,Buffalo Lugga High Crossing (Prozac),737971,9840908
102306,11/27/2012,Buffalo Lugga High Crossing (Prozac),739055,9841390
102307,11/29/2012,Imperial Crossing (Fig Tree),741916,9838752
102307,11/29/2012,Crescent Tree (Talek West),741757,9838302
102308,12/1/2012,Deep Fried Den (Fig Tree),735417,9839374
102309,12/2/2012,Imperial Crossing (Fig Tree),0,0
102310,12/2/2012,Crescent Tree (Talek West),741664,9837326
102311,12/3/2012,Nose Tree (Fig Tree),741689,9840820
102312,12/5/2012,Nose Tree (Fig Tree),0,0
102312,12/5/2012,Fallopian Tree (Fig Tree),741197,9840900
102315,12/6/2012,Deadwood Crossing (Fig Tree),738801,9839806
102317,12/6/2012,"Pointer Lugga, Top (Prozac)",737502,9838599
102318,12/6/2012,Sodom Apple Den (Fig Tree),0,0
102317,12/6/2012,Deadwood Crossing (Fig Tree),738370,9839129
102316,12/6/2012,Deadwood Crossing (Fig Tree),738735,9839635
102315,12/6/2012,Deadwood Crossing (Fig Tree),738598,9839434
102314,12/6/2012,Deadwood Crossing (Fig Tree),739216,9839795
102314,12/6/2012,Deadwood Crossing (Fig Tree),739310,9840103
102313,12/6/2012,Sodom Apple Den (Fig Tree),0,0
102313,12/6/2012,MJ Lane Top (Fig Tree),740266,9840503
102313,12/6/2012,MJ Lane Top (Fig Tree),740370,9839973
102315,12/6/2012,Deadwood Crossing (Fig Tree),738922,9840150
102326,12/7/2012,Tawny Tree (Talek),742824,9840300
102327,12/7/2012,Sodom Apple Den (Fig Tree),0,0
102325,12/7/2012,Tawny Tree (Talek),742857,9840522
102324,12/7/2012,MJ Lane Bottom (Fig Tree),739281,9840454
102324,12/7/2012,Buffalo Lugga High Crossing (Prozac),738939,9840856
102323,12/7/2012,Buffalo Lugga (Fig Tree),738029,9841662
102321,12/7/2012,Sodom Apple Den (Fig Tree),0,0
102320,12/7/2012,Nose Tree (Fig Tree),741592,9840404
102319,12/7/2012,Tawny Tree (Talek),742828,9839834
102319,12/7/2012,Tawny Tree (Talek),742474,9839770
102319,12/7/2012,Tawny Tree (Talek),742397,9839940
102319,12/7/2012,Nose Tree (Fig Tree),0,0
102328,12/7/2012,Buffalo Lugga (Fig Tree),0,0
102322,12/7/2012,MJ Lane Top (Fig Tree),740392,9840080
102331,12/9/2012,Tawny Tree (Talek),742785,9840364
102332,12/9/2012,Sodom Apple Den (Fig Tree),0,0
102331,12/9/2012,Tawny Tree (Talek),742341,9840684
102330,12/9/2012,Gomer's Lugga (Fig Tree),742409,9840670
102329,12/9/2012,Tawny Tree (Talek),742923,9840852
102334,12/18/2012,MJ Lane Top (Fig Tree),739578,9840103
102335,12/18/2012,Pond Lugga Crossing (Talek),741127,985517
102333,12/18/2012,Sodom Apple Den (Fig Tree),0,0
102336,1/10/2013,Buffalo Lugga High Crossing (Prozac),738064,9841267
102337,1/10/2013,MJ Lane Bottom (Fig Tree),740435,9841348
102337,1/10/2013,Critter Crossing (Fig Tree),740845,9841241
102337,1/10/2013,Critter Crossing (Fig Tree),0,0
102338,1/15/2013,MJ Lane Bottom (Fig Tree),739480,9841396
102339,1/17/2013,Buffalo Lugga High Crossing (Prozac),738966,9846074
102341,2/3/2013,Sodom Apple Den (Fig Tree),0,0
102340,2/3/2013,Sodom Apple Den (Fig Tree),0,0
102340,2/3/2013,MJ Lane Top (Fig Tree),740350,9839606
102342,2/4/2013,Deadwood Crossing (Fig Tree),7399461,9839048
102344,2/4/2013,Sodom Apple Den (Fig Tree),0,0
102345,2/4/2013,Deadwood Crossing (Fig Tree),739461,9839048
102345,2/4/2013,Sodom Apple Den (Fig Tree),0,0
102343,2/4/2013,Sodom Apple Den (Fig Tree),0,0
102346,2/5/2013,Sodom Apple Den (Fig Tree),0,0
102347,2/5/2013,Sodom Apple Den (Fig Tree),0,0
102349,2/6/2013,Imperial Crossing (Fig Tree),741474,9838626
102349,2/6/2013,Crescent Tree (Talek West),741689,9838212
102349,2/6/2013,Imperial Crossing (Fig Tree),741273,9838850
102348,2/6/2013,Sodom Apple Den (Fig Tree),0,0
102349,2/6/2013,MJ Lane Top (Fig Tree),740548,9839536
102349,2/6/2013,Sodom Apple Den (Fig Tree),0,0
102349,2/6/2013,Imperial Crossing (Fig Tree),741064,9839254
102350,2/7/2013,Sodom Apple Den (Fig Tree),0,0
102352,2/7/2013,Sabre Gateway X (Fig Tree),740315,9838410
102352,2/7/2013,Sabre Gateway X (Fig Tree),740315,9838410
102351,2/7/2013,Sodom Apple Den (Fig Tree),0,0
102353,2/7/2013,Sabre Gateway X (Fig Tree),740315,9838410
102357,2/8/2013,MJ Lane Top (Fig Tree),741097,9839440
102356,2/8/2013,Nose Tree (Fig Tree),741660,9840362
102358,2/8/2013,MJ Lane Top (Fig Tree),740598,9840300
102357,2/8/2013,Sabre Gateway X (Fig Tree),740998,9838602
102357,2/8/2013,Sabre Gateway X (Fig Tree),741059,9838780
102357,2/8/2013,Imperial Crossing (Fig Tree),741062,9839105
102357,2/8/2013,Sabre Gateway X (Fig Tree),741024,9839210
102357,2/8/2013,MJ Lane Top (Fig Tree),741320,9839893
102357,2/8/2013,Fallopian Tree (Fig Tree),741381,9840048
102354,2/8/2013,Nose Tree (Fig Tree),741657,9840421
102356,2/8/2013,Fallopian Tree (Fig Tree),741537,9840216
102357,2/8/2013,Fallopian Tree (Fig Tree),741457,9840141
102355,2/8/2013,Fallopian Tree (Fig Tree),741509,9840386
102357,2/8/2013,MJ Lane Top (Fig Tree),741202,9839689
102360,2/10/2013,Sodom Apple Den (Fig Tree),0,0
102361,2/10/2013,MJ Lane Top (Fig Tree),740086,9840170
102359,2/10/2013,Fallopian Tree (Fig Tree),741240,9840474
102362,2/10/2013,Fallopian Tree (Fig Tree),741245,9840384
102363,2/13/2013,Sodom Apple Den (Fig Tree),0,0
102364,2/13/2013,Sodom Apple Den (Fig Tree),0,0
102365,2/14/2013,Sodom Apple Den (Fig Tree),0,0
102366,2/14/2013,Sodom Apple Den (Fig Tree),0,0
102367,2/14/2013,0,738515,9842424
102368,2/15/2013,Sodom Apple Den (Fig Tree),0,0
102369,2/15/2013,Deadwood Crossing (Fig Tree),738495,9839536
102369,2/15/2013,Sodom Apple Den (Fig Tree),0,0
102369,2/15/2013,Deadwood Crossing (Fig Tree),738308,9839155
102370,2/16/2013,Sodom Apple Den (Fig Tree),0,0
102371,2/16/2013,Sodom Apple Den (Fig Tree),0,0
102371,2/16/2013,MJ Lane Top (Fig Tree),739900,9839828
102371,2/16/2013,MJ Lane Top (Fig Tree),0,0
102371,2/16/2013,Murram Pit (Fig Tree),740795,9841195
102371,2/16/2013,Critter Crossing (Fig Tree),741149,9841440
102372,2/25/2013,Sodom Apple Den (Fig Tree),0,0
102373,2/26/2013,Double Crossing (Fig Tree),738534,9847038
102374,2/26/2013,Double Crossing (Fig Tree),0,0
102373,2/26/2013,Double Crossing (Fig Tree),737865,9846921
102375,3/4/2013,MJ Lane Top (Fig Tree),740268,9840238
102376,3/6/2013,Apache Lugga (Fig Tree),737674,9845203
102377,3/6/2013,Apache Lugga (Fig Tree),737515,9845184
102377,3/6/2013,Apache Lugga (Fig Tree),737451,9845259
102378,3/6/2013,Double Crossing (Fig Tree),737148,9846273
102379,3/6/2013,Apache Lugga (Fig Tree),737876,9845733
102380,3/6/2013,Twin Lugga (Fig Tree),741390,9842632
102381,3/6/2013,Twin Lugga (Fig Tree),742186,9842653
102382,3/8/2013,Sodom Apple Den (Fig Tree),0,0
102385,3/16/2013,Buffalo Lugga Communal Den (Fig Tree),0,0
102384,3/16/2013,Deadwood Crossing (Fig Tree),739844,9839763
102384,3/16/2013,Sodom Apple Den (Fig Tree),0,0
102383,3/16/2013,Sodom Apple Den (Fig Tree),0,0
102386,3/18/2013,Buffalo Lugga Communal Den (Fig Tree),0,0
102387,3/18/2013,Fallopian Tree (Fig Tree),741237,9840397
102388,3/20/2013,Frida Tree (Fig Tree),741221,9846109
102389,3/20/2013,Double Crossing (Fig Tree),737767,9846885
102390,3/20/2013,Murram Pit (Fig Tree),739699,9843509
102391,4/14/2013,MJ Lane Top (Fig Tree),741023,9840330
102392,4/16/2013,MJ Lane Top (Fig Tree),740727,9830316
102393,4/16/2013,MJ Lane Top (Fig Tree),740267,9840238
102395,4/24/2013,Nose Tree (Fig Tree),741707,9840435
102394,4/24/2013,MJ Lane Top (Fig Tree),740478,9840316
102396,4/30/2013,MJ Lane Top (Fig Tree),740433,9840291
102397,4/30/2013,Buffalo Lugga High Crossing (Prozac),738554,9840798
102398,4/30/2013,"Pointer Lugga, Top (Prozac)",738050,9839934
102399,4/30/2013,MJ Lane Top (Fig Tree),0,0
102402,5/6/2013,Deadwood Crossing (Fig Tree),739035,9839755
102400,5/6/2013,Buffalo Lugga High Crossing (Prozac),738621,9840395
102402,5/6/2013,Deadwood Crossing (Fig Tree),738872,9839871
102401,5/6/2013,Deadwood Crossing (Fig Tree),739023,9839809
102400,5/6/2013,Deadwood Crossing (Fig Tree),738790,9839815
102402,5/6/2013,Deadwood Crossing (Fig Tree),738968,9839600
102403,5/13/2013,Imperial Crossing (Fig Tree),0,0
102403,5/13/2013,Imperial Crossing (Fig Tree),742371,9838597
102404,5/13/2013,Big Bend Crossing (Talek),742865,9839035
