Easting,Northing,Clan,Count,Date,Year,Month,Day,Time
746015,9838830,TW,1,11/28/2012,2012,11,28,19:01
724237,9846903,SN,2,11/28/2012,2012,11,28,20:13
751237,9837775,TW,1,11/29/2012,2012,11,29,19:52
745380,9838028,TW,2,11/30/2012,2012,11,30,6:44
743008,9839070,TW,2,11/30/2012,2012,11,30,18:21
743799,9839368,TW,2,12/2/2012,2012,12,2,17:53
746952,9837148,TW,3,12/4/2012,2012,12,4,17:44
747112,9837124,TW,1,12/4/2012,2012,12,4,17:42
720697,9843978,HZ,1,12/4/2012,2012,12,4,17:15
746554,9837416,TW,2,12/5/2012,2012,12,5,17:33
731462,9841624,MR,2,12/5/2012,2012,12,5,7:07
733627,9842016,MR,2,12/5/2012,2012,12,5,7:39
727333,9840695,SS,2,12/5/2012,2012,12,5,7:21
746997,9836480,TW,5,12/6/2012,2012,12,6,7:36
743032,9839766,TW,2,12/7/2012,2012,12,7,6:41
742728,9839113,TW,2,12/7/2012,2012,12,7,6:44
728038,9840767,SS,2,12/8/2012,2012,12,8,17:35
726966,9841424,SS,2,12/8/2012,2012,12,8,17:59
724332,9846841,SN,3,12/10/2012,2012,12,10,17:09
748705,9836765,TW,2,12/13/2012,2012,12,13,17:17
718525,9838312,HZ,1,12/13/2012,2012,12,13,17:45
746673,9837962,TW,2,12/14/2012,2012,12,14,17:39
747055,9836676,TW,3,12/14/2012,2012,12,14,17:30
747659,9836656,TW,1,12/14/2012,2012,12,14,20:25
724408,9846810,SN,1,12/14/2012,2012,12,14,17:06
720752,9847591,SN,3,12/14/2012,2012,12,14,18:43
747036,9836603,TW,3,12/15/2012,2012,12,15,6:35
745698,9837678,TW,1,12/16/2012,2012,12,16,6:07
747057,9836717,TW,1,12/16/2012,2012,12,16,7:55
748864,9836139,TW,2,12/16/2012,2012,12,16,9:02
748325,9836668,TW,2,12/16/2012,2012,12,16,17:18
724583,9845392,SN,1,12/16/2012,2012,12,16,5:35
747319,9836899,TW,3,12/17/2012,2012,12,17,6:05
743169,9840021,TW,2,12/18/2012,2012,12,18,18:51
747079,9836105,TW,1,12/19/2012,2012,12,19,7:07
721071,9847575,SN,2,12/19/2012,2012,12,19,5:57
721406,9847510,SN,2,12/19/2012,2012,12,19,8:08
747611,9836360,TW,2,12/21/2012,2012,12,21,7:17
748625,9835726,TW,2,12/21/2012,2012,12,21,17:21
747086,9836196,TW,2,12/22/2012,2012,12,22,7:22
747927,9837670,TW,2,12/27/2012,2012,12,27,17:39
743266,9837978,TW,2,12/28/2012,2012,12,28,7:20
747230,9834231,TW,2,12/28/2012,2012,12,28,17:55
754971,9831039,TW,2,12/29/2012,2012,12,29,4:17
750742,9837670,TW,2,12/29/2012,2012,12,29,17:14
746479,9836166,TW,1,12/29/2012,2012,12,29,17:37
719089,9842605,HZ,1,12/29/2012,2012,12,29,7:31
745333,9838112,TW,3,12/30/2012,2012,12,30,6:22
731087,9840672,MR,1,12/30/2012,2012,12,30,7:39
724535,9846756,SN,1,1/3/2013,2013,1,3,9:47
724439,9846795,SN,5,1/3/2013,2013,1,3,10:01
727788,9841350,SS,2,1/3/2013,2013,1,3,9:07
745885,9837608,TW,5,1/5/2013,2013,1,5,18:30
747432,9837579,TW,2,1/5/2013,2013,1,5,17:44
747579,9837618,TW,2,1/5/2013,2013,1,5,17:57
745100,9839181,TW,2,1/10/2013,2013,1,10,17:51
744714,9839554,TW,2,1/10/2013,2013,1,10,17:55
738064,9841267,FT,2,1/10/2013,2013,1,10,18:39
727916,9840748,SS,2,1/10/2013,2013,1,10,7:51
727788,9841350,SS,1,1/10/2013,2013,1,10,9:48
721016,9847386,SN,1,1/11/2013,2013,1,11,18:13
751273,9837742,TW,2,1/12/2013,2013,1,12,5:40
744407,9840450,TW,2,1/12/2013,2013,1,12,7:20
