"","year","month","UTME","UTMN"
"711",2012,7,741195,9840476
"712",2012,7,740203,9840082
"713",2012,7,741195,9840476
"714",2012,7,740203,9840082
"715",2012,7,748846,9840331
"716",2012,7,741195,9840476
"717",2012,7,740891,9840320
"718",2012,7,740203,9840082
"719",2012,7,740203,9840082
"720",2012,7,740329,9840254
"721",2012,7,741195,9840476
"722",2012,7,740324,9839899
"723",2012,7,741676,9841157
"724",2012,7,740757,9840322
"725",2012,7,740598,9840300
"726",2012,7,740203,9840082
"727",2012,7,740340,9840256
"728",2012,7,740344,9840168
"729",2012,7,741195,9840476
"730",2012,7,741195,9840476
"731",2012,7,732528,9844077
"732",2012,7,731645,9843612
"733",2012,7,731144,9843740
"734",2012,7,733176,9842198
"735",2012,7,731355,9841742
"736",2012,7,732195,9840607
"737",2012,7,732773,9841076
"738",2012,7,734932,9842156
"739",2012,7,731645,9843612
"740",2012,7,731144,9843740
"741",2012,7,723418,9847514
"742",2012,7,722150,9844692
"743",2012,7,722150,9844692
"744",2012,7,722445,9844752
"745",2012,7,723224,9844866
"746",2012,7,724781,9844626
"747",2012,7,725109,9844676
"748",2012,7,725172,9844670
"749",2012,7,727377,9840658
"750",2012,7,721642,9844602
"751",2012,7,719919,9851134
"752",2012,7,719919,9851134
"753",2012,7,719919,9851134
"754",2012,7,719919,9851134
"755",2012,7,719919,9851134
"756",2012,7,719919,9851134
"757",2012,7,719919,9851134
"758",2012,7,719919,9851134
"759",2012,7,719919,9851134
"760",2012,7,719919,9851134
"761",2012,7,719919,9851134
"762",2012,7,719919,9851134
"763",2012,7,719919,9851134
"764",2012,7,719919,9851134
"765",2012,7,719919,9851134
"766",2012,7,719820,9851094
"767",2012,7,720028,9851236
"768",2012,7,724529,9846377
"769",2012,7,721078,9847596
"770",2012,7,724475,9845876
"771",2012,7,724498,9846522
"772",2012,7,724524,9846114
"773",2012,7,724557,9846262
"774",2012,7,720933,9848754
"775",2012,7,721218,9849052
"776",2012,7,720892,9848145
"777",2012,7,720524,9848694
"778",2012,7,720622,9849042
"779",2012,7,721231,9848992
"780",2012,7,721233,9848932
"781",2012,7,721251,9848756
"782",2012,7,724682,9846690
"783",2012,7,720930,9849994
"784",2012,7,720870,9850468
"785",2012,7,720918,9850182
"786",2012,7,720920,9850796
"787",2012,7,720921,9850564
"788",2012,7,720922,9850648
"789",2012,7,720922,9850676
"790",2012,7,720923,9850794
"791",2012,7,720924,9850340
"792",2012,7,720973,9849860
"793",2012,7,720979,9849840
"794",2012,7,721061,9849580
