Name ,Abbrev,GPS Abbrev,Category,UTME,UTMN,Date Created,Description,Territory
Cocobeach Den,Cocobeach D,CCB D,cd,716199,9844306,13-Feb-11,HZ communal den on the border town/river plain,HZ
Coincidence D,Coincidence D,COINCD,cd,719522,9837495,8-Oct-08,Communal den for OJY and ARC,HZ
Comatose Culvert,Comatose C,COMA C,o,718092,9841661,18-Aug-08,Along Main Road,HZ
Conservancy Headquarters,Cons HQ,CONSHQ,o,725025,9844849,27-Feb-09,Mara Conservancy Headquarters,North
Copenhagen Den,Copenhagen D,COPEN D,cd,719620,9851394,27-Jan-11,North communal den on the northern European cities plain (N of HP dens),North
Crepes Den,Crepes D,CRP D,cd,724243,9846030,26-Jun-11,North communal den on the Breakfast plain,North
Cripple Tree,Cripple T,CRIPLT,t,727202,9842261,15-Feb-09,bent tree near Suzi Den,South
Cross Junction,Cross Junction,CROSS,o,720995,9856232,22-Jun-06,,
Cul de sac,CDS,CUL DE SAC,o,722233,9847946,30-Nov-13,Crossing point in north territory,North 
Culvert City,Culvert City,CULVRT CTY,o,718184,9842567,23-Nov-10,Set of 3 culverts along the High Rd just N of 9km M,HZ
Danger Island,Danger Isl,DANGER,o,717918,9836614,3-Aug-08,Tree clump SW of Main Road,HZ
Dead Elephant Log,Dead Elephant Log ,Dead Eleph Log,o,721765,9855084,18-Jun-13,Arch shaped log next to the track about 150m away from a spot that had a dead elephant. ,North
Dead Gun Tree,Dead Gun,DGUN,t,718792,9846976,20-Jun-11,in marshy area between short road and Oloololo Escarpment,North
Decoral,Decoral,DECRL,t,728141,9840611,24-Jul-09,horseshoe shaped tree in South Territory,South
